?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q4709010>	"Alban Maginness"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882308>	"Belfast North"@en	<http://www.wikidata.org/entity/Q175443>	"Social Democratic and Labour Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4716637>	"Alex Attwood"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q4882350>	"Belfast West"@en	<http://www.wikidata.org/entity/Q175443>	"Social Democratic and Labour Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4716944>	"Alex Easton"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7055150>	"North Down"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4792148>	"Arlene Foster"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5444367>	"Fermanagh and South Tyrone"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4864486>	"Barry McElduff"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q7986717>	"West Tyrone"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4867218>	"Basil McCrea"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q15241246>	"Lagan Valley"@en	<http://www.wikidata.org/entity/Q841045>	"Ulster Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2013-03-03T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q30580660>	"leaving party"@en
<http://www.wikidata.org/entity/Q4867218>	"Basil McCrea"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q15241246>	"Lagan Valley"@en	<http://www.wikidata.org/entity/Q327591>	"independent politician"@en	"2013-03-04T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2013-06-05T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		
<http://www.wikidata.org/entity/Q4867218>	"Basil McCrea"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q15241246>	"Lagan Valley"@en	<http://www.wikidata.org/entity/Q15980856>	"NI21"@en	"2013-06-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4960688>	"Brenda Hale"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q15241246>	"Lagan Valley"@en	<http://www.wikidata.org/entity/Q215519>	"Democratic Unionist Party"@en	"2011-05-06T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7058474>	"2011 Northern Ireland Assembly election"@en	"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q4974147>	"Bronwyn McGahan"@en	<http://www.wikidata.org/entity/Q21124329>	"4th Northern Ireland Assembly"@en	<http://www.wikidata.org/entity/Q5444367>	"Fermanagh and South Tyrone"@en	<http://www.wikidata.org/entity/Q76382>	"Sinn Féin"@en	"2012-07-02T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>			"2016-03-24T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
